"filename", "language", "TypeScript JSX", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "XML", "Markdown", "MS SQL", "comment", "blank", "total"
"d:\HDSP_HYBRID\backend\main.js", "JavaScript", 0, 0, 0, -111, 0, 0, 0, 0, -1, 0, -112
"d:\HDSP_HYBRID\backend\nest-cli.json", "JSON", 0, 0, 0, 0, -9, 0, 0, 0, 0, -1, -10
"d:\HDSP_HYBRID\backend\package-lock.json", "JSON", 0, 0, 0, 0, -13155, 0, 0, 0, 0, -1, -13156
"d:\HDSP_HYBRID\backend\package.json", "JSON", 0, 0, 0, 0, -137, 0, 0, 0, 0, -1, -138
"d:\HDSP_HYBRID\backend\src\app.controller.ts", "TypeScript", 0, 0, -67, 0, 0, 0, 0, 0, 0, -6, -73
"d:\HDSP_HYBRID\backend\src\app.module.ts", "TypeScript", 0, 0, -116, 0, 0, 0, 0, 0, -63, -28, -207
"d:\HDSP_HYBRID\backend\src\common\decorators\active-branch.decorator.ts", "TypeScript", 0, 0, -18, 0, 0, 0, 0, 0, -9, -2, -29
"d:\HDSP_HYBRID\backend\src\common\decorators\audit.decorator.ts", "TypeScript", 0, 0, -8, 0, 0, 0, 0, 0, -8, -4, -20
"d:\HDSP_HYBRID\backend\src\common\decorators\current-user.decorator.ts", "TypeScript", 0, 0, -8, 0, 0, 0, 0, 0, -10, -2, -20
"d:\HDSP_HYBRID\backend\src\common\decorators\permissions.decorator.ts", "TypeScript", 0, 0, -4, 0, 0, 0, 0, 0, -9, -3, -16
"d:\HDSP_HYBRID\backend\src\common\decorators\public.decorator.ts", "TypeScript", 0, 0, -3, 0, 0, 0, 0, 0, -9, -3, -15
"d:\HDSP_HYBRID\backend\src\common\decorators\roles.decorator.ts", "TypeScript", 0, 0, -3, 0, 0, 0, 0, 0, -8, -3, -14
"d:\HDSP_HYBRID\backend\src\common\filters\global-exception.filter.ts", "TypeScript", 0, 0, -69, 0, 0, 0, 0, 0, -7, -12, -88
"d:\HDSP_HYBRID\backend\src\common\guards\jwt-auth.guard.ts", "TypeScript", 0, 0, -26, 0, 0, 0, 0, 0, -6, -5, -37
"d:\HDSP_HYBRID\backend\src\common\guards\permissions.guard.ts", "TypeScript", 0, 0, -29, 0, 0, 0, 0, 0, -14, -9, -52
"d:\HDSP_HYBRID\backend\src\common\guards\reservation-scope.guard.ts", "TypeScript", 0, 0, -35, 0, 0, 0, 0, 0, -26, -10, -71
"d:\HDSP_HYBRID\backend\src\common\guards\roles.guard.ts", "TypeScript", 0, 0, -29, 0, 0, 0, 0, 0, 0, -7, -36
"d:\HDSP_HYBRID\backend\src\common\guards\tenant-scope.guard.ts", "TypeScript", 0, 0, -53, 0, 0, 0, 0, 0, -49, -11, -113
"d:\HDSP_HYBRID\backend\src\common\health\bull.health.ts", "TypeScript", 0, 0, -31, 0, 0, 0, 0, 0, -6, -3, -40
"d:\HDSP_HYBRID\backend\src\common\health\oracle.health.ts", "TypeScript", 0, 0, -34, 0, 0, 0, 0, 0, -8, -7, -49
"d:\HDSP_HYBRID\backend\src\common\health\redis.health.ts", "TypeScript", 0, 0, -38, 0, 0, 0, 0, 0, 0, -4, -42
"d:\HDSP_HYBRID\backend\src\common\interceptors\audit.interceptor.ts", "TypeScript", 0, 0, -33, 0, 0, 0, 0, 0, -11, -7, -51
"d:\HDSP_HYBRID\backend\src\common\interceptors\logging.interceptor.ts", "TypeScript", 0, 0, -45, 0, 0, 0, 0, 0, -4, -4, -53
"d:\HDSP_HYBRID\backend\src\common\middleware\request-id.middleware.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, 0, -4, -2, -18
"d:\HDSP_HYBRID\backend\src\common\middleware\subdomain-tenant.middleware.ts", "TypeScript", 0, 0, -33, 0, 0, 0, 0, 0, -34, -6, -73
"d:\HDSP_HYBRID\backend\src\common\redis\redis.provider.ts", "TypeScript", 0, 0, -26, 0, 0, 0, 0, 0, -1, -6, -33
"d:\HDSP_HYBRID\backend\src\common\utils\logger.util.ts", "TypeScript", 0, 0, -67, 0, 0, 0, 0, 0, -18, -12, -97
"d:\HDSP_HYBRID\backend\src\config\app.config.ts", "TypeScript", 0, 0, -14, 0, 0, 0, 0, 0, -22, -2, -38
"d:\HDSP_HYBRID\backend\src\config\database.config.ts", "TypeScript", 0, 0, -52, 0, 0, 0, 0, 0, -2, -4, -58
"d:\HDSP_HYBRID\backend\src\config\deployment.config.ts", "TypeScript", 0, 0, -4, 0, 0, 0, 0, 0, -9, -2, -15
"d:\HDSP_HYBRID\backend\src\config\env.validation.ts", "TypeScript", 0, 0, -82, 0, 0, 0, 0, 0, -70, -18, -170
"d:\HDSP_HYBRID\backend\src\config\jwt.config.ts", "TypeScript", 0, 0, -7, 0, 0, 0, 0, 0, 0, -2, -9
"d:\HDSP_HYBRID\backend\src\config\oracle.config.ts", "TypeScript", 0, 0, -26, 0, 0, 0, 0, 0, -2, -2, -30
"d:\HDSP_HYBRID\backend\src\config\redis.config.ts", "TypeScript", 0, 0, -55, 0, 0, 0, 0, 0, -14, -6, -75
"d:\HDSP_HYBRID\backend\src\database\data-source.ts", "TypeScript", 0, 0, -196, 0, 0, 0, 0, 0, -4, -9, -209
